year,artist.inverted,track,time,genre,date.entered,date.peaked,x1st.week,x2nd.week,x3rd.week,x4th.week
2000,Destiny's Child,Independent Women Part I,3:38,Rock,9/23/00,11/18/00,78,63,49,33
2000,Santana,"Maria, Maria",4:18,Rock,2/12/00,4/8/00,15,8,6,5
2000,Savage Garden,I Knew I Loved You,4:07,Rock,10/23/99,1/29/00,71,48,43,31
2000,Madonna,Music,3:45,Rock,8/12/00,9/16/00,41,23,18,14
2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,8/5/00,10/14/00,57,47,45,29
2000,Janet,Doesn't Really Matter,4:17,Rock,6/17/00,8/26/00,59,52,43,30
2000,Destiny's Child,Say My Name,4:31,Rock,12/25/99,3/18/00,83,83,44,38
2000,"Iglesias, Enrique",Be With You,3:36,Latin,4/1/00,6/24/00,63,45,34,23
2000,Sisqo,Incomplete,3:52,Rock,6/24/00,8/12/00,77,66,61,61
2000,Lonestar,Amazed,4:25,Country,6/5/99,3/4/00,81,54,44,39
2000,N'Sync,It's Gonna Be Me,3:10,Rock,5/6/00,7/29/00,82,70,51,39
2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,11/27/99,1/15/00,71,51,28,18
2000,Vertical Horizon,Everything You Want,4:01,Rock,1/22/00,7/15/00,70,61,53,46
2000,Creed,With Arms Wide Open,3:52,Rock,5/13/00,11/11/00,84,78,76,74
2000,Aaliyah,Try Again,4:03,Rock,3/18/00,6/17/00,59,53,38,28
2000,matchbox twenty,Bent,4:12,Rock,4/29/00,7/22/00,60,37,29,24
2000,"Carey, Mariah",Thank God I Found You,4:14,Rock,12/11/99,2/19/00,82,68,50,50
2000,"Hill, Faith",Breathe,4:04,Rap,11/6/99,4/22/00,81,68,62,51
2000,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock,8/19/00,12/2/00,72,57,52,47
2000,Dream,He Loves U Not,3:43,Rock,9/30/00,12/30/00,99,92,81,59
2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,3/18/00,5/6/00,63,55,48,39
2000,"Anthony, Marc",You Sang To Me,3:50,Latin,2/26/00,6/3/00,77,54,50,43
2000,98¡,Give Me Just One Night (Una Noche),3:24,Rock,8/19/00,9/30/00,51,39,34,26
2000,Destiny's Child,Jumpin' Jumpin',3:48,Rock,5/13/00,8/19/00,74,71,65,62
2000,3 Doors Down,Kryptonite,3:53,Rock,4/8/00,11/11/00,81,70,68,67
2000,Sisqo,Thong Song,4:05,Rock,1/29/00,5/20/00,74,63,35,26
2000,"Aguilera, Christina",I Turn To You,4:00,Rock,4/15/00,7/1/00,50,39,30,28
2000,"Houston, Whitney",My Love Is Your Love,4:16,Rock,9/4/99,1/8/00,81,68,44,16
2000,Joe,I Wanna Know,4:57,Rock,1/1/00,7/1/00,94,86,69,50
2000,"Jordan, Montell",Get It On.. Tonite,4:34,Rap,10/23/99,2/12/00,92,80,72,69
2000,N'Sync,Bye Bye Bye,3:15,Rock,1/29/00,4/15/00,42,20,19,14
2000,Eminem,The Real Slim Shady,4:42,Rap,5/6/00,6/24/00,70,32,20,16
2000,Pink,Most Girls,4:06,Rock,8/12/00,11/25/00,85,70,52,36
2000,"Mumba, Samantha",Gotta Tell You,3:19,Rock,9/9/00,12/9/00,85,72,65,49
2000,Blaque,Bring It All To Me,3:46,Pop,10/23/99,1/22/00,73,63,50,42
2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,11/27/99,1/8/00,36,21,13,9
2000,"Gray, Macy",I Try,3:52,Rock,2/19/00,5/20/00,68,51,47,36
2000,N'Sync,This I Promise You,4:23,Rock,9/30/00,12/2/00,68,31,19,15
2000,Ruff Endz,No More,3:56,Rock,7/1/00,9/2/00,76,38,19,17
2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock,1/1/00,3/18/00,74,62,55,25
2000,Nine Days,Absolutely (Story Of A Girl),3:09,Rock,5/6/00,7/22/00,85,71,59,52
2000,"Dion, Celine",That's The Way It Is,4:03,Rock,11/13/99,3/4/00,74,68,65,49
2000,Blink-182,All The Small Things,2:52,Rock,12/4/99,2/19/00,89,76,69,59
2000,Eiffel 65,Blue (Da Ba Dee),3:29,Electronica,12/11/99,1/29/00,67,29,16,16
2000,"Badu, Erkyah",Bag Lady,5:03,Rock,8/19/00,10/7/00,67,53,42,41
2000,Pink,There U Go,3:23,Rock,3/4/00,4/8/00,25,15,12,11
2000,Creed,Higher,5:16,Rock,9/11/99,7/22/00,81,77,73,63
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,4/29/00,9/16/00,100,99,96,76
2000,Next,Wifey,4:03,Rock,5/27/00,9/9/00,85,61,46,40
2000,Kenny G,Auld Lang Syne (The Millenium Mix),7:50,Jazz,12/25/99,1/8/00,89,89,7,8
2000,Sonique,It Feels So Good,3:48,Rock,1/22/00,4/22/00,67,52,30,23
2000,"Spears, Britney",Oops!.. I Did It Again,3:30,Rock,4/22/00,6/10/00,67,38,26,19
2000,"Backstreet Boys, The",Shape Of My Heart,3:49,Rock,10/14/00,12/2/00,39,25,24,15
2000,Everclear,Wonderful,4:30,Rock,7/8/00,9/30/00,77,69,53,37
2000,Ja Rule,Between Me And You,4:05,Rap,9/16/00,11/18/00,85,74,61,37
2000,"Rimes, LeAnn",I Need You,3:42,Country,5/27/00,8/12/00,77,68,67,63
2000,Smash Mouth,Then The Morning Comes,3:04,Rock,10/30/99,1/29/00,83,59,56,46
2000,Jay-Z,I Just Wanna Love U (Give It 2 Me),3:50,Rap,10/28/00,12/30/00,58,45,35,26
2000,Jagged Edge,Let's Get Married,4:23,Rock,5/6/00,7/29/00,77,66,55,45
2000,Filter,Take A Picture,4:23,Rock,11/27/99,2/5/00,91,74,64,52
2000,"Martin, Ricky",She Bangs,4:02,Latin,10/7/00,12/2/00,38,28,21,21
2000,Mystikal,Shake Ya Ass,4:46,Rap,8/12/00,10/28/00,97,90,65,41
2000,BBMak,Back Here,3:35,Rock,4/29/00,7/29/00,99,86,60,52
2000,"Spears, Britney",From The Bottom Of My Broken Heart,4:30,Rock,1/29/00,2/26/00,76,59,52,52
2000,Third Eye Blind,Never Let You Go,3:57,Rock,1/22/00,4/1/00,65,32,25,24
2000,Red Hot Chili Peppers,Otherside,4:13,Rock,2/12/00,5/27/00,80,72,65,52
2000,Profyle,Liar,3:57,R&B,9/16/00,10/28/00,52,32,25,17
2000,Barenaked Ladies,Pinch Me,3:46,Rock,9/9/00,11/25/00,77,76,69,45
2000,Jagged Edge,He Can't Love U,3:30,Rock,12/11/99,1/8/00,54,32,17,17
2000,504 Boyz,Wobble Wobble,3:35,Rap,4/15/00,5/6/00,57,34,25,17
2000,Sting,Desert Rose,3:52,Rock,5/13/00,8/26/00,98,88,72,59
2000,Jay-Z,Big Pimpin',3:55,Rap,4/22/00,7/8/00,69,52,39,33
2000,Kid Rock,Only God Knows Why,5:27,Rock,2/19/00,4/15/00,63,47,46,39
2000,Foo Fighters,Learn To Fly,3:55,Rock,10/16/99,1/22/00,80,69,68,63
2000,"Dixie Chicks, The",Goodbye Earl,4:19,Country,3/18/00,5/6/00,40,29,24,24
2000,Guy,Dancin',4:08,R&B,12/18/99,1/1/00,46,29,19,22
2000,Lil Bow Wow,Bounce With Me,3:22,Rap,8/19/00,9/16/00,48,35,24,24
2000,Westlife,Swear It Again,4:07,Rock,4/1/00,7/1/00,96,82,66,55
2000,Train,Meet Virginia,3:55,Rock,10/9/99,1/22/00,76,67,59,54
2000,"Thomas, Carl",I Wish,3:50,Rock,3/25/00,5/13/00,75,64,48,39
2000,Hanson,This Time Around,4:14,Country,4/22/00,5/6/00,22,22,20,45
2000,"Simpson, Jessica",I Think I'm In Love With You,3:32,Pop,7/1/00,8/12/00,63,52,44,29
2000,Ludacris,What's Your Fantasy,4:16,Rap,9/30/00,12/16/00,89,83,63,55
2000,Lil' Zane,Callin' Me,3:43,Rap,7/29/00,9/2/00,83,89,57,40
2000,M2M,Don't Say You Love Me,3:41,Pop,11/20/99,1/8/00,72,53,62,46
2000,SoulDecision,Faded,3:25,Rock,7/8/00,9/9/00,94,90,81,64
2000,"Brock, Chad",Yes!,3:22,Country,4/8/00,7/1/00,90,77,66,61
2000,"Martin, Ricky",Shake Your Bon-Bon,3:08,Latin,11/20/99,2/12/00,74,66,52,39
2000,Vertical Horizon,You're A God,3:45,Rock,8/26/00,11/4/00,64,55,43,41
2000,Avant,Separated,4:13,Rock,4/29/00,5/20/00,62,32,30,23
2000,"Rimes, LeAnn",Big Deal,3:03,Country,10/16/99,1/1/00,71,52,51,51
2000,IMx,Stay The Night,3:37,Rap,10/9/99,1/8/00,84,61,45,43
2000,Dr. Dre,The Next Episode,2:38,Rap,5/27/00,7/29/00,78,67,58,53
2000,"Spears, Britney",Lucky,3:23,Rock,8/12/00,9/9/00,61,41,28,26
2000,Savage Garden,Crash And Burn,4:41,Rock,4/8/00,5/27/00,75,58,51,36
2000,Kandi,Don't Think I'm Not,3:50,Rock,8/5/00,10/7/00,66,66,66,61
2000,Sammie,I Like It,4:09,Rock,1/29/00,4/15/00,85,68,58,44
2000,Goo Goo Dolls,Broadway,3:54,Rock,4/22/00,7/1/00,74,58,53,42
2000,"Moore, Mandy",I Wanna Be With You,4:12,Pop,6/17/00,8/12/00,69,63,54,50
2000,Dr. Dre,Forgot About Dre,3:42,Rap,1/22/00,3/25/00,75,55,47,36
2000,D'Angelo,Untitled (How Does It Feel),7:10,R&B,1/22/00,2/19/00,77,56,35,26
2000,"Messina, Jo Dee",That's The Way,3:17,Country,6/24/00,8/26/00,78,67,63,54
2000,Avant,My First Love,4:28,Rock,11/4/00,12/16/00,70,62,56,43
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,4/8/00,8/19/00,80,80,80,79
2000,Da Brat,What'Chu Like,3:57,Rap,6/3/00,8/12/00,71,65,54,54
2000,DMX,Party Up (Up In Here),3:45,Rap,2/26/00,4/22/00,88,74,62,56
2000,"Dixie Chicks, The",Cowboy Take Me Away,4:51,Country,11/27/99,1/29/00,79,72,70,61
2000,"McGraw, Tim",My Next Thirty Years,3:37,Country,10/21/00,12/16/00,73,62,56,52
2000,"Tritt, Travis",Best Of Intentions,4:15,Country,8/19/00,12/2/00,97,86,79,70
2000,Alice Deejay,Better Off Alone,6:50,Electronica,4/8/00,6/3/00,79,65,53,48
2000,Hoku,Another Dumb Blonde,3:47,Pop,2/19/00,4/8/00,69,49,49,34
2000,"Houston, Whitney",I Learned From The Best,4:18,Rock,2/19/00,3/25/00,83,83,83,40
2000,Counting Crows,Hanginaround,4:07,Rock,11/6/99,1/29/00,84,70,66,60
2000,Mary Mary,Shackles (Praise You),3:12,Rock,3/25/00,5/13/00,90,76,72,54
2000,"Carey, Mariah",Crybaby,5:19,Rock,6/24/00,6/24/00,28,34,48,62
2000,"McGraw, Tim",My Best Friend,4:33,Country,11/27/99,1/29/00,85,76,71,64
2000,Sugar Ray,Falls Apart,4:15,Rock,1/15/00,2/19/00,70,64,54,40
2000,Madonna,American Pie,4:30,Rock,2/19/00,3/4/00,43,35,29,29
2000,"Jones, Donell",Where I Wanna Be,6:22,Rock,4/22/00,7/8/00,81,71,65,50
2000,"Paisley, Brad",We Danced,3:45,Country,10/14/00,12/16/00,71,68,52,52
2000,Lonestar,What About Now,3:30,Country,6/10/00,8/19/00,78,72,66,64
2000,"Backstreet Boys, The",The One,3:46,Rock,5/27/00,7/1/00,58,50,43,37
2000,"Keith, Toby",How Do You Like Me Now?!,3:29,Country,1/29/00,4/8/00,77,72,59,53
2000,"Strait, George",The Best Day,3:24,Country,1/29/00,4/22/00,73,64,54,45
2000,"Dixie Chicks, The",Without You,3:32,Country,10/7/00,12/23/00,80,70,63,56
2000,Musiq,Just Friends (Sunny),4:02,Rap,10/14/00,12/30/00,89,83,65,55
2000,"McEntire, Reba",What Do You Say,3:26,Country,10/30/99,1/29/00,88,76,71,71
2000,"Braxton, Toni",Just Be A Man About It,4:10,Rock,7/29/00,9/2/00,76,69,51,42
2000,"Iglesias, Enrique",Rhythm Divine,7:35,Latin,12/4/99,1/22/00,90,84,79,67
2000,"Fabian, Lara",I Will Love Again,3:43,Pop,6/10/00,8/12/00,91,80,75,61
2000,Bon Jovi,It's My Life,3:44,Rock,8/12/00,9/30/00,64,58,51,51
2000,"Evans, Sara",Born To Fly,5:36,Country,10/21/00,12/30/00,77,71,64,57
2000,"Chesney, Kenny",I Lost It,3:54,Country,10/21/00,12/23/00,75,67,61,58
2000,J-Shin,One Night Stand,4:34,R&B,12/25/99,2/26/00,96,96,69,74
2000,Eve,Love Is Blind,3:51,Rap,1/8/00,2/19/00,94,91,57,46
2000,Aaliyah,I Don't Wanna,4:15,Rock,1/29/00,3/4/00,84,62,51,41
2000,"Montgomery, John Michael",The Little Girl,3:52,Country,9/9/00,10/28/00,81,67,64,56
2000,"Carter, Aaron",Aaron's Party (Come Get It),3:23,R&B,8/26/00,9/16/00,99,75,57,35
2000,"Vassar, Phil",Just Another Day In Paradise,3:54,Country,9/30/00,12/2/00,81,81,76,67
2000,Ice Cube,You Can Do It,4:20,Rap,12/4/99,1/15/00,86,66,50,42
2000,"Wills, Mark",Back At One,4:00,Country,1/15/00,2/26/00,89,55,51,43
2000,Lucy Pearl,Dance Tonight,3:45,R&B,5/20/00,7/29/00,80,75,63,59
2000,"Jackson, Alan",It Must Be Love,2:53,Country,6/24/00,9/2/00,76,74,68,63
2000,"Griggs, Andy",She's More,3:19,Country,3/11/00,6/10/00,81,76,69,67
2000,No Doubt,Simple Kind Of Life,4:11,Rock,7/1/00,7/22/00,50,40,39,38
2000,"Jean, Wyclef",911,4:00,Rap,10/7/00,11/25/00,77,74,64,61
2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,5/6/00,8/12/00,87,78,72,68
2000,Vitamin C,Graduation (Friends Forever),4:23,Rock,4/15/00,6/10/00,81,64,54,54
2000,"Gilman, Billy",One Voice,4:07,Country,6/17/00,9/2/00,86,86,82,72
2000,Lonestar,Smile,3:33,Country,12/18/99,2/12/00,89,80,80,80
2000,"Rogers, Kenny",Buy Me A Rose,3:46,Country,3/11/00,5/6/00,79,72,65,65
2000,"Lawrence, Tracy",Lessons Learned,2:55,Country,1/29/00,4/8/00,80,73,61,61
2000,"Strait, George",Go On,3:48,Country,8/26/00,10/28/00,71,67,63,56
2000,Sisqo,Got To Get It,3:52,Rock,11/20/99,1/22/00,92,76,73,58
2000,Baha Men,Who Let The Dogs Out,3:17,R&B,7/22/00,10/21/00,99,92,85,76
2000,"Walker, Clay",The Chain Of Love,5:03,Country,4/15/00,6/10/00,73,65,57,57
2000,"McBride, Martina",Love's The Only House,5:13,Country,2/5/00,4/15/00,79,69,65,58
2000,Amber,Sexual (Li Da Di),4:38,Rock,7/17/99,2/12/00,99,99,96,96
